"Handle","Title","Body (HTML)","Vendor","Type","Tags","Published","Option1 Name","Option1 Value","Option2 Name","Option2 Value","Option3 Name","Option3 Value","Variant Inventory Policy","Variant Fulfillment Service","Variant Price","Variant Requires Shipping","Variant Taxable","Status"
"photobook-tradicional","Photobook Tradicional","<p>Photobook tradicional para guardar tus recuerdos más bonitos. Personalízalo a tu gusto.</p>","On Paper","Photobooks","photobook,recuerdos","TRUE","Tamaño","14x11","Diseño interior","Minimalista","Número de fotos","0-150 fotos","deny","manual","3040.00","TRUE","TRUE","active"
"photobook-tradicional","","","","","","","","14x11","","Minimalista","","151-250 fotos","deny","manual","3440.00","TRUE","TRUE",""
"photobook-tradicional","","","","","","","","14x11","","Minimalista","","251-350 fotos","deny","manual","3840.00","TRUE","TRUE",""
"photobook-tradicional","","","","","","","","14x11","","Tradicional","","0-150 fotos","deny","manual","2490.00","TRUE","TRUE",""
"photobook-tradicional","","","","","","","","14x11","","Tradicional","","151-250 fotos","deny","manual","2890.00","TRUE","TRUE",""
"photobook-tradicional","","","","","","","","14x11","","Tradicional","","251-350 fotos","deny","manual","3290.00","TRUE","TRUE",""
"photobook-tradicional","","","","","","","","11x14","","Minimalista","","0-150 fotos","deny","manual","3040.00","TRUE","TRUE",""
"photobook-tradicional","","","","","","","","11x14","","Minimalista","","151-250 fotos","deny","manual","3440.00","TRUE","TRUE",""
"photobook-tradicional","","","","","","","","11x14","","Minimalista","","251-350 fotos","deny","manual","3840.00","TRUE","TRUE",""
"photobook-tradicional","","","","","","","","11x14","","Tradicional","","0-150 fotos","deny","manual","2490.00","TRUE","TRUE",""
"photobook-tradicional","","","","","","","","11x14","","Tradicional","","151-250 fotos","deny","manual","2890.00","TRUE","TRUE",""
"photobook-tradicional","","","","","","","","11x14","","Tradicional","","251-350 fotos","deny","manual","3290.00","TRUE","TRUE",""
"photobook-tradicional","","","","","","","","10x10","","Minimalista","","0-150 fotos","deny","manual","2840.00","TRUE","TRUE",""
"photobook-tradicional","","","","","","","","10x10","","Minimalista","","151-250 fotos","deny","manual","3240.00","TRUE","TRUE",""
"photobook-tradicional","","","","","","","","10x10","","Minimalista","","251-350 fotos","deny","manual","3640.00","TRUE","TRUE",""
"photobook-tradicional","","","","","","","","10x10","","Tradicional","","0-150 fotos","deny","manual","2290.00","TRUE","TRUE",""
"photobook-tradicional","","","","","","","","10x10","","Tradicional","","151-250 fotos","deny","manual","2690.00","TRUE","TRUE",""
"photobook-tradicional","","","","","","","","10x10","","Tradicional","","251-350 fotos","deny","manual","3090.00","TRUE","TRUE",""
"photobook-tradicional","","","","","","","","8.5x11","","Minimalista","","0-150 fotos","deny","manual","2740.00","TRUE","TRUE",""
"photobook-tradicional","","","","","","","","8.5x11","","Minimalista","","151-250 fotos","deny","manual","3140.00","TRUE","TRUE",""
"photobook-tradicional","","","","","","","","8.5x11","","Minimalista","","251-350 fotos","deny","manual","3540.00","TRUE","TRUE",""
"photobook-tradicional","","","","","","","","8.5x11","","Tradicional","","0-150 fotos","deny","manual","2190.00","TRUE","TRUE",""
"photobook-tradicional","","","","","","","","8.5x11","","Tradicional","","151-250 fotos","deny","manual","2590.00","TRUE","TRUE",""
"photobook-tradicional","","","","","","","","8.5x11","","Tradicional","","251-350 fotos","deny","manual","2990.00","TRUE","TRUE",""
"photobook-tradicional","","","","","","","","11x8.5","","Minimalista","","0-150 fotos","deny","manual","2740.00","TRUE","TRUE",""
"photobook-tradicional","","","","","","","","11x8.5","","Minimalista","","151-250 fotos","deny","manual","3140.00","TRUE","TRUE",""
"photobook-tradicional","","","","","","","","11x8.5","","Minimalista","","251-350 fotos","deny","manual","3540.00","TRUE","TRUE",""
"photobook-tradicional","","","","","","","","11x8.5","","Tradicional","","0-150 fotos","deny","manual","2190.00","TRUE","TRUE",""
"photobook-tradicional","","","","","","","","11x8.5","","Tradicional","","151-250 fotos","deny","manual","2590.00","TRUE","TRUE",""
"photobook-tradicional","","","","","","","","11x8.5","","Tradicional","","251-350 fotos","deny","manual","2990.00","TRUE","TRUE",""
"photobook-tradicional","","","","","","","","8x8","","Minimalista","","0-150 fotos","deny","manual","2540.00","TRUE","TRUE",""
"photobook-tradicional","","","","","","","","8x8","","Minimalista","","151-250 fotos","deny","manual","2940.00","TRUE","TRUE",""
"photobook-tradicional","","","","","","","","8x8","","Minimalista","","251-350 fotos","deny","manual","3340.00","TRUE","TRUE",""
"photobook-tradicional","","","","","","","","8x8","","Tradicional","","0-150 fotos","deny","manual","1990.00","TRUE","TRUE",""
"photobook-tradicional","","","","","","","","8x8","","Tradicional","","151-250 fotos","deny","manual","2390.00","TRUE","TRUE",""
"photobook-tradicional","","","","","","","","8x8","","Tradicional","","251-350 fotos","deny","manual","2790.00","TRUE","TRUE",""
"photobook-layflat","Photobook Layflat","<p>Photobook layflat de páginas continuas para una experiencia visual sin cortes.</p>","On Paper","Photobooks","photobook,layflat,recuerdos","TRUE","Tamaño","14x11","Número de fotos y páginas","0-50 fotos (20-30 páginas)","","","deny","manual","3090.00","TRUE","TRUE","active"
"photobook-layflat","","","","","","","","14x11","","0-100 fotos (30-40 páginas)","","","deny","manual","3490.00","TRUE","TRUE",""
"photobook-layflat","","","","","","","","14x11","","0-150 fotos (60-70 páginas)","","","deny","manual","3890.00","TRUE","TRUE",""
"photobook-layflat","","","","","","","","14x11","","0-200 fotos (80-90 páginas)","","","deny","manual","4290.00","TRUE","TRUE",""
"photobook-layflat","","","","","","","","14x11","","0-250 fotos (100 páginas)","","","deny","manual","4690.00","TRUE","TRUE",""
"photobook-layflat","","","","","","","","11x14","","0-50 fotos (20-30 páginas)","","","deny","manual","3090.00","TRUE","TRUE",""
"photobook-layflat","","","","","","","","11x14","","0-100 fotos (30-40 páginas)","","","deny","manual","3490.00","TRUE","TRUE",""
"photobook-layflat","","","","","","","","11x14","","0-150 fotos (60-70 páginas)","","","deny","manual","3890.00","TRUE","TRUE",""
"photobook-layflat","","","","","","","","11x14","","0-200 fotos (80-90 páginas)","","","deny","manual","4290.00","TRUE","TRUE",""
"photobook-layflat","","","","","","","","11x14","","0-250 fotos (100 páginas)","","","deny","manual","4690.00","TRUE","TRUE",""
"photobook-layflat","","","","","","","","10x10","","0-50 fotos (20-30 páginas)","","","deny","manual","2890.00","TRUE","TRUE",""
"photobook-layflat","","","","","","","","10x10","","0-100 fotos (30-40 páginas)","","","deny","manual","3290.00","TRUE","TRUE",""
"photobook-layflat","","","","","","","","10x10","","0-150 fotos (60-70 páginas)","","","deny","manual","3690.00","TRUE","TRUE",""
"photobook-layflat","","","","","","","","10x10","","0-200 fotos (80-90 páginas)","","","deny","manual","4090.00","TRUE","TRUE",""
"photobook-layflat","","","","","","","","10x10","","0-250 fotos (100 páginas)","","","deny","manual","4490.00","TRUE","TRUE",""
"photobook-layflat","","","","","","","","8.5x11","","0-50 fotos (20-30 páginas)","","","deny","manual","2790.00","TRUE","TRUE",""
"photobook-layflat","","","","","","","","8.5x11","","0-100 fotos (30-40 páginas)","","","deny","manual","3190.00","TRUE","TRUE",""
"photobook-layflat","","","","","","","","8.5x11","","0-150 fotos (60-70 páginas)","","","deny","manual","3590.00","TRUE","TRUE",""
"photobook-layflat","","","","","","","","8.5x11","","0-200 fotos (80-90 páginas)","","","deny","manual","3990.00","TRUE","TRUE",""
"photobook-layflat","","","","","","","","8.5x11","","0-250 fotos (100 páginas)","","","deny","manual","4390.00","TRUE","TRUE",""
"photobook-layflat","","","","","","","","11x8.5","","0-50 fotos (20-30 páginas)","","","deny","manual","2790.00","TRUE","TRUE",""
"photobook-layflat","","","","","","","","11x8.5","","0-100 fotos (30-40 páginas)","","","deny","manual","3190.00","TRUE","TRUE",""
"photobook-layflat","","","","","","","","11x8.5","","0-150 fotos (60-70 páginas)","","","deny","manual","3590.00","TRUE","TRUE",""
"photobook-layflat","","","","","","","","11x8.5","","0-200 fotos (80-90 páginas)","","","deny","manual","3990.00","TRUE","TRUE",""
"photobook-layflat","","","","","","","","11x8.5","","0-250 fotos (100 páginas)","","","deny","manual","4390.00","TRUE","TRUE",""
"photobook-layflat","","","","","","","","8x8","","0-50 fotos (20-30 páginas)","","","deny","manual","2490.00","TRUE","TRUE",""
"photobook-layflat","","","","","","","","8x8","","0-100 fotos (30-40 páginas)","","","deny","manual","2890.00","TRUE","TRUE",""
"photobook-layflat","","","","","","","","8x8","","0-150 fotos (60-70 páginas)","","","deny","manual","3290.00","TRUE","TRUE",""
"photobook-layflat","","","","","","","","8x8","","0-200 fotos (80-90 páginas)","","","deny","manual","3690.00","TRUE","TRUE",""
"photobook-layflat","","","","","","","","8x8","","0-250 fotos (100 páginas)","","","deny","manual","4090.00","TRUE","TRUE",""
"bookcase","Bookcase","<p>Estuche/caja para proteger y presentar tu photobook.</p>","On Paper","Cajas","bookcase,estuche","TRUE","Material","Tela","Tamaño","14x11","","","deny","manual","1390.00","TRUE","TRUE","active"
"bookcase","","","","","","","","Tela","","11x14","","","deny","manual","1390.00","TRUE","TRUE",""
"bookcase","","","","","","","","Tela","","8.5x11","","","deny","manual","1140.00","TRUE","TRUE",""
"bookcase","","","","","","","","Tela","","11x8.5","","","deny","manual","1140.00","TRUE","TRUE",""
"bookcase","","","","","","","","Tela","","8x8","","","deny","manual","990.00","TRUE","TRUE",""
"bookcase","","","","","","","","Tela","","10x10","","","deny","manual","1240.00","TRUE","TRUE",""
"bookcase","","","","","","","","Vinipiel","","14x11","","","deny","manual","1690.00","TRUE","TRUE",""
"bookcase","","","","","","","","Vinipiel","","11x14","","","deny","manual","1690.00","TRUE","TRUE",""
"bookcase","","","","","","","","Vinipiel","","8.5x11","","","deny","manual","1440.00","TRUE","TRUE",""
